,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
652305423,0.0015241446120923313,65.58333778381342,1.0019059234450312,0.9993224601700051,0.004829213846746838,-34.114585876464794,0.6666666666666626,0.0,-15.666664123535206,0.0,0.00023622133728950283,1.1986089644513138,1.031685619331027,0.06694821373066152,,23.666666666666668,10,,0,-71.48725598907471,180.0,,1.0,3.5606880086644193
652516963,0.157427966374609,63.2812519073485,0.8979423597665614,0.9488795600158244,0.051667469071486574,-44.343751271565665,0.5666666666666598,0.0,-7.6562512715658855,0.0,0.0012728733459357426,2.2256097560975725,2.2256097560975725,0.37996219281663735,,117.33333333333334,3,,0,-69.3591494064331,20.0,,,2.526644777289675
652533530,0.031461553466587765,73.1770833333333,0.9765124902691255,0.9942285555732993,0.021309639181387598,-55.59375,0.6000000000000033,0.0,-18.15625762939456,0.0,0.0004080273256982113,1.1002865329512896,1.0333891769756736,0.11524399669825316,,13.499999999999998,16,,0,-78.24095471021865,150.0,,0.7777777777777778,2.4322559018301275
652812484,0.3436951238734322,58.28125063578288,0.8943699961604054,0.9986958164223545,0.08310835234120757,-33.3125,0.7333333333333358,0.0,-10.833335876464858,0.0,0.0011620194490563488,0.9692192192192195,1.0122143482186685,0.16907069189731108,,22.96666666666666,12,,0,-71.31697135501437,350.0,,1.0,3.400515927488296
652958762,0.28019239603600626,76.42708460489926,,,0.06240946971455015,-38.906249999999936,0.4666666666666708,0.0,-9.322916666666714,0.0,,,,,,19.500000000000004,2,,0,-68.92717656707764,249.99998,,,2.273051868296979
653327513,0.2524209859881525,55.625004450480276,0.7194756664452708,0.9941715254913026,0.07122754751396077,-44.42708714803057,0.2999999999999947,0.0,-17.666666666666693,0.0,0.17377872659705695,0.033192587379779356,0.9380633674922048,2.4537810637646436,,6.633333333333338,15,,0,-75.46720597330729,380.0,,14.0,1.337013840726618
653699672,2.50769220218397,79.3958396911621,0.8988454394738296,0.8322947433819804,0.19712572201494305,-46.72917048136393,0.5000000000000004,0.0,-8.677083333333336,0.0,0.005956369161397836,1.5276381909547718,1.8008256744247553,0.48627987666553496,,17.666666666666664,4,,0,-68.91803735436334,180.0,,,2.2318026316147357
656156755,0.2978709819433507,77.39583524068192,0.9240915391614497,0.9417831600150616,0.06489195174958082,-46.79166666666662,0.3999999999999976,0.0,-9.687501271565822,0.0,0.04175588508862845,1.4173228346456717,3.7271799358413515,0.9480691562771596,,8.266666666666673,4,,0,-66.68914199150935,210.0,,,1.6365751596339242
656705176,0.4483879751150168,70.03125508626306,0.9147702071472947,0.9019379342057978,0.08390960972345021,-34.906253814697266,0.6000000000000172,0.0,-18.927083333333393,0.0,0.0034478155125143785,1.6119196119196126,1.6119196119196126,0.23427964977447618,,42.19999999999999,3,,0,-68.37155630238851,190.0,,,2.5407779676566578
656706125,0.07131329230655745,40.62500063578266,1.2761539200822303,1.005698103688767,0.03824248213918066,-22.916666666666522,0.3666666666666818,0.0,-25.760416666666842,0.0,8.918461356746411e-05,1.0488431876606694,1.0076310617897393,0.07983162564600253,,28.866666666666678,34,,0,-71.2358744430542,479.99997,,1.0,1.4721250866020859
